year,ISO3,ADM0_EN,ADM0_PCODE,ADM1_EN,ADM1_PCODE,ADM2_EN,ADM2_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80_84,F_85_89,F_90Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80_84,M_85_89,M_90Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80_84,T_85_89,T_90Plus
2022,MMR,Myanmar,MMR,Shan (North),MMR015,Muse,MMR015D002,260841,258706,519549,27159,25077,24695,24492,22220,20099,18414,16587,14988,13987,13380,11834,10088,7466,4844,2547,1726,782,432,28117,25713,24951,26356,25516,22454,19868,17595,15503,13083,11214,9327,7561,5110,3315,1560,861,401,176,55277,50792,49646,50849,47737,42555,38282,34183,30492,27071,24595,21162,17650,12578,8161,4108,2589,1185,610
2022,MMR,Myanmar,MMR,Mandalay,MMR010,Nyaung-U,MMR010D005,304749,244168,548919,22010,22586,21664,20722,20443,22747,24622,23976,22652,20387,18739,17147,15628,12225,9347,5108,2771,1417,538,22350,23390,20759,18721,16778,17567,17763,17617,16583,15637,14127,12713,10903,8259,5640,2872,1504,734,232,44360,45978,42425,39444,37222,40314,42386,41593,39237,36025,32866,29861,26532,20485,14988,7981,4277,2152,771
2022,MMR,Myanmar,MMR,Mandalay,MMR010,Kyaukse,MMR010D003,424678,379718,804398,33891,32782,30472,30386,33536,35542,35797,33328,30049,27533,25865,23170,17546,13024,9847,5948,3265,1908,752,34805,33755,30697,30137,33161,33591,31509,29391,25559,23287,21024,18314,13377,9115,5977,3336,1511,830,308,68699,66539,61171,60524,66698,69136,67307,62723,55610,50821,46890,41485,30925,22141,15826,9285,4776,2740,1064
2022,MMR,Myanmar,MMR,Rakhine,MMR012,Mrauk-U,MMR012D005,573439,501280,1074719,53373,54692,53787,59011,50955,42864,38758,37824,32894,31191,29988,26860,21561,15749,10552,6816,3664,2016,850,55074,55960,54960,60193,45281,31378,25489,27204,24704,24858,24086,23530,18336,13509,8162,4639,2322,1170,388,108451,110653,108749,119206,96238,74244,64249,65029,57598,56051,54075,50391,39899,29262,18717,11458,5988,3187,1240
2022,MMR,Myanmar,MMR,Tanintharyi,MMR006,Myeik,MMR006D002,376272,371052,747324,39502,39613,37563,42182,35381,27537,24554,22664,21254,18707,17555,14717,12577,9483,5899,3478,2041,1047,482,40486,40351,38135,43785,34635,25970,23966,23489,22245,19088,16869,13372,11032,8102,4925,2385,1297,635,251,79990,79966,75698,85968,70019,53511,48521,46154,43500,37798,34424,28090,23610,17587,10826,5866,3340,1683,737
2022,MMR,Myanmar,MMR,Ayeyarwady,MMR017,Labutta,MMR017D004,316372,312165,628538,33535,30849,28425,28014,25251,22599,22015,22779,20624,18362,15668,14487,12550,9639,5866,2753,1626,933,380,34023,31201,28548,29878,26296,22469,20676,21805,20286,18185,15184,14346,11986,8467,4812,2042,1121,621,201,67560,62052,56974,57893,51548,45069,42691,44585,40912,36547,30853,28833,24537,18106,10678,4795,2748,1555,581
2022,MMR,Myanmar,MMR,Sagaing,MMR005,Naga Self-Administered Zone,MMR005S001,60604,61780,122385,8216,8460,6434,5937,4475,3974,3706,3603,3465,2921,2824,1842,1907,1058,879,342,296,117,121,8558,8590,6587,6115,5111,4286,3668,3516,3477,2792,2918,1920,1784,900,764,253,259,112,142,16775,17051,13022,12054,9586,8261,7375,7121,6944,5714,5743,3764,3692,1959,1644,598,556,230,266
2022,MMR,Myanmar,MMR,Shan (South),MMR014,Langkho,MMR014D003,79972,81179,161153,7488,7158,6696,6601,6577,5673,5433,5238,5143,5288,4888,4620,3663,2244,1532,835,507,220,134,7767,7334,6797,6744,7224,6424,5899,5682,5292,5318,4536,4214,3241,1956,1312,720,413,192,79,15257,14494,13494,13347,13804,12099,11334,10921,10438,10607,9426,8836,6905,4202,2847,1559,922,413,215
2022,MMR,Myanmar,MMR,Shan (North),MMR015,Mongmit,MMR015D008,63243,64074,127318,5810,5681,5493,5270,5231,4899,4944,4824,4125,3752,3324,3049,2391,1852,1238,724,342,189,89,6191,6176,5610,5893,5857,5478,5349,5241,4520,3641,2776,2547,1956,1435,746,387,157,69,27,12002,11858,11104,11165,11089,10377,10294,10067,8646,7394,6102,5597,4348,3289,1984,1112,500,258,116
2022,MMR,Myanmar,MMR,Mandalay,MMR010,Pyinoolwin,MMR010D002,548559,529553,1078115,49512,46927,45257,46818,44753,44667,43250,40525,37283,33993,32191,26912,19457,14502,10217,6294,3350,1865,740,50597,47744,45881,52372,49791,47076,42231,38260,35202,30864,28177,22276,15080,10508,6691,3666,1810,995,288,100111,94674,91139,99194,94545,91746,85482,78787,72489,64857,60372,49192,34540,25012,16908,9965,5161,2861,1033
2022,MMR,Myanmar,MMR,Mandalay,MMR010,Meiktila,MMR010D007,521830,439962,961794,39804,39701,37988,37206,36431,39233,39087,38369,37693,36310,32546,29753,24815,19889,15021,9069,4897,2838,1145,40842,40546,36928,34502,33869,33879,32067,31272,30229,28512,25334,22410,17652,13350,9244,4978,2589,1286,436,80647,80248,74918,71710,70301,73113,71156,69644,67924,64823,57882,52165,42470,33242,24267,14047,7489,4126,1585
2022,MMR,Myanmar,MMR,Shan (North),MMR015,Pa Laung Self-Administered Zone,MMR015S001,68579,58553,127133,7669,7071,6256,6403,5717,4976,4619,4545,4018,3516,3482,3098,2654,1841,1216,725,440,214,104,7784,7043,5451,5044,4618,4210,4087,3925,3583,2982,2682,2400,2043,1248,699,390,237,65,44,15455,14115,11708,11449,10336,9186,8707,8470,7603,6499,6166,5499,4697,3089,1915,1116,679,280,148
2022,MMR,Myanmar,MMR,Shan (North),MMR015,Matman,MMR015D007,133312,141089,274403,17328,16233,13363,15315,12997,12298,8651,7795,6412,4942,4809,3043,4175,2090,2232,620,632,164,188,17710,17091,14440,15949,12697,11694,9894,8664,7787,5536,5706,3213,4487,2319,2380,562,604,163,168,35039,33324,27804,31267,25696,23994,18547,16460,14199,10480,10516,6258,8663,4409,4613,1185,1239,328,359
2022,MMR,Myanmar,MMR,Chin,MMR004,Matupi,MMR004D004,87306,78666,165972,11321,11110,10328,9203,7330,5956,4914,4744,4013,3786,3594,3343,2648,2020,1404,806,498,179,90,11925,11654,10615,8878,5982,4250,3482,3498,3156,3091,2987,2873,2425,1696,1086,552,288,143,68,23248,22766,20945,18082,13313,10206,8396,8242,7169,6878,6583,6217,5074,3717,2491,1359,788,322,158
2022,MMR,Myanmar,MMR,Sagaing,MMR005,Mawlaik,MMR005D007,90428,83240,173668,9640,9419,8573,8085,6941,6446,5886,5715,5495,5122,4961,4276,3497,2753,1643,1003,575,294,86,9924,9667,8961,7965,6854,5911,5354,5116,4942,4242,4052,3439,2703,1956,1085,615,261,140,30,19564,19088,17535,16052,13795,12358,11240,10833,10439,9366,9015,7716,6201,4710,2730,1620,837,435,118
2022,MMR,Myanmar,MMR,Magway,MMR009,Minbu,MMR009D002,369516,316914,686433,27448,29059,28794,30971,27347,25023,26313,27581,26977,25777,23458,20915,16000,12282,9656,6050,3283,1850,687,28203,29580,28547,31526,26317,20949,20507,21928,21533,19932,18404,16137,11785,8632,6291,3612,1859,856,275,55653,58640,57344,62498,53668,45976,46823,49512,48513,45711,41864,37053,27788,20916,15948,9664,5144,2709,965
2022,MMR,Myanmar,MMR,Shan (East),MMR016,Tachileik,MMR016D003,161857,169943,331803,15882,14385,12756,13192,14349,13124,12129,11353,9823,9737,9190,7867,6895,4713,3205,1689,974,395,173,16081,15075,13738,14619,15811,14992,13765,14093,12303,10245,8746,7435,5585,3680,1985,1002,470,208,83,31964,29463,26496,27813,30161,28119,25895,25448,22128,19983,17937,15304,12481,8396,5191,2692,1445,605,257
2022,MMR,Myanmar,MMR,Shan (East),MMR016,Monghsat,MMR016D002,92094,106287,198382,13173,12069,8961,9030,7903,7142,6338,5898,5217,4197,3731,2407,2413,1470,1202,423,298,103,101,13818,12458,9808,11277,9855,8453,7643,7311,6756,5333,4634,2826,2725,1447,1217,338,244,69,58,26991,24529,18770,20308,17760,15596,13982,13210,11974,9531,8365,5234,5138,2917,2420,762,543,173,161
2022,MMR,Myanmar,MMR,Magway,MMR009,Pakokku,MMR009D004,561984,445941,1007930,43130,45301,44512,45160,38516,36487,38346,41509,40218,38094,34843,32171,27604,21642,15738,9533,5158,2915,1061,43480,45709,44051,42089,32461,26344,26009,28738,28511,26804,25104,23058,19634,14244,9793,5344,2628,1417,482,86611,91011,88566,87252,70978,62833,64358,70249,68733,64902,59950,55232,47242,35888,25534,14879,7787,4334,1545
2022,MMR,Myanmar,MMR,Sagaing,MMR005,Sagaing,MMR005D001,304818,257351,562169,19073,19783,20572,23247,23336,21998,22126,23128,22660,21945,19937,18861,15127,12608,8424,5846,3346,2000,773,19679,20545,21261,23148,21561,18307,17661,18272,17918,17623,15535,14265,11312,8645,5378,3243,1692,999,276,38755,40329,41834,46396,44900,40306,39790,41402,40579,39569,35475,33127,26439,21256,13805,9090,5040,3000,1050
2022,MMR,Myanmar,MMR,Kayin,MMR003,Myawaddy,MMR003D002,111575,114617,226192,10985,10599,10419,13340,11541,8254,7628,7307,6866,6196,5526,4678,3316,2208,1294,737,357,215,98,11404,11136,11045,14409,12208,8797,8122,7852,7259,6536,5315,4208,2810,1746,956,446,196,106,56,22389,21736,21465,27750,23749,17052,15750,15159,14126,12733,10841,8887,6126,3954,2250,1183,553,322,155
